,State Code,County Code,year,month,Land Use,Good,Moderate,Unhealthy,Unhealthy for Sensitive Group,Very Unhealthy
3496,6,67,2018,4,RESIDENTIAL,23,2,0,0,0
3497,6,67,2018,5,AGRICULTURAL,6,0,0,0,0
3498,6,67,2018,5,RESIDENTIAL,23,2,0,0,0
3499,6,67,2018,6,AGRICULTURAL,1,3,0,0,0
3500,6,67,2018,6,COMMERCIAL,1,0,0,0,0
3501,6,67,2018,6,RESIDENTIAL,17,8,0,0,0
3502,6,67,2018,7,RESIDENTIAL,6,19,0,6,0
3503,6,67,2018,8,AGRICULTURAL,1,2,1,0,0
3504,6,67,2018,8,COMMERCIAL,0,1,0,0,0
3505,6,67,2018,8,RESIDENTIAL,5,17,0,4,0
3506,6,67,2018,9,AGRICULTURAL,1,2,0,1,0
3507,6,67,2018,9,COMMERCIAL,0,1,0,0,0
3508,6,67,2018,9,RESIDENTIAL,11,13,0,1,0
3509,6,67,2018,10,AGRICULTURAL,10,1,0,0,0
3510,6,67,2018,10,RESIDENTIAL,14,6,0,0,0
3511,6,67,2018,11,AGRICULTURAL,2,0,0,0,0
3512,6,67,2018,11,COMMERCIAL,0,0,1,1,0
3513,6,67,2018,11,RESIDENTIAL,12,7,5,1,1
3514,6,67,2018,12,AGRICULTURAL,2,0,0,0,0
3515,6,67,2018,12,COMMERCIAL,0,1,0,0,0
3516,6,67,2018,12,RESIDENTIAL,11,17,0,0,0
3517,6,67,2019,1,AGRICULTURAL,2,0,0,0,0
3518,6,67,2019,1,COMMERCIAL,1,1,0,0,0
3519,6,67,2019,1,RESIDENTIAL,14,10,0,3,0
3520,6,67,2019,2,AGRICULTURAL,11,0,0,0,0
3521,6,67,2019,2,COMMERCIAL,0,1,0,0,0
3522,6,67,2019,2,RESIDENTIAL,15,1,0,0,0
3523,6,67,2019,3,AGRICULTURAL,10,0,0,0,0
3524,6,67,2019,3,COMMERCIAL,1,0,0,0,0
3525,6,67,2019,3,RESIDENTIAL,20,0,0,0,0
3526,6,67,2019,4,AGRICULTURAL,2,0,0,0,0
3527,6,67,2019,4,RESIDENTIAL,21,7,0,0,0
3528,6,67,2019,5,AGRICULTURAL,9,1,0,0,0
3529,6,67,2019,5,RESIDENTIAL,15,6,0,0,0
3530,6,67,2019,6,AGRICULTURAL,4,3,0,2,0
3531,6,67,2019,6,RESIDENTIAL,8,13,0,0,0
3532,6,67,2019,7,AGRICULTURAL,1,3,0,0,0
3533,6,67,2019,7,RESIDENTIAL,13,13,0,1,0
3534,6,67,2019,8,AGRICULTURAL,3,4,0,0,0
3535,6,67,2019,8,RESIDENTIAL,12,11,0,1,0
3536,6,67,2019,9,AGRICULTURAL,6,3,0,0,0
3537,6,67,2019,9,RESIDENTIAL,17,4,0,0,0
3538,6,67,2019,10,AGRICULTURAL,15,3,0,0,0
3539,6,67,2019,10,COMMERCIAL,0,3,0,0,0
3540,6,67,2019,10,RESIDENTIAL,4,6,0,0,0
3541,6,67,2019,11,AGRICULTURAL,2,2,0,0,0
3542,6,67,2019,11,COMMERCIAL,1,4,0,0,0
3543,6,67,2019,11,RESIDENTIAL,6,15,0,0,0
3544,6,67,2019,12,AGRICULTURAL,5,0,0,0,0
3545,6,67,2019,12,RESIDENTIAL,15,11,0,0,0
3546,6,67,2020,1,AGRICULTURAL,3,0,0,0,0
3547,6,67,2020,1,COMMERCIAL,0,1,0,0,0
3548,6,67,2020,1,RESIDENTIAL,13,14,0,0,0
3549,6,67,2020,2,AGRICULTURAL,4,0,0,0,0
3550,6,67,2020,2,RESIDENTIAL,12,13,0,0,0
3551,6,67,2020,3,AGRICULTURAL,5,1,0,0,0
3552,6,67,2020,3,RESIDENTIAL,25,0,0,0,0
3553,6,67,2020,4,AGRICULTURAL,1,0,0,0,0
3554,6,67,2020,4,RESIDENTIAL,28,1,0,0,0
