,State Code,County Code,year,month,Location Setting,Good,Moderate,Unhealthy,Unhealthy for Sensitive Group,Very Unhealthy
29569,45,73,2019,3,RURAL,20,11,0,0,0
29570,45,73,2019,4,RURAL,18,12,0,0,0
29571,45,73,2019,5,RURAL,28,3,0,0,0
29572,45,73,2019,6,RURAL,25,5,0,0,0
29573,45,73,2019,7,RURAL,30,1,0,0,0
29574,45,73,2019,8,RURAL,29,2,0,0,0
29575,45,73,2019,9,RURAL,26,4,0,0,0
29576,45,73,2019,10,RURAL,30,1,0,0,0
29577,45,73,2019,11,RURAL,30,0,0,0,0
29578,45,73,2019,12,RURAL,31,0,0,0,0
29579,45,73,2020,1,RURAL,22,0,0,0,0
29580,45,77,2018,2,RURAL,22,0,0,0,0
29581,45,77,2018,3,RURAL,29,2,0,0,0
29582,45,77,2018,4,RURAL,21,9,0,0,0
29583,45,77,2018,5,RURAL,26,5,0,0,0
29584,45,77,2018,6,RURAL,26,4,0,0,0
29585,45,77,2018,7,RURAL,28,3,0,0,0
29586,45,77,2018,8,RURAL,31,0,0,0,0
29587,45,77,2018,9,RURAL,30,0,0,0,0
29588,45,77,2018,10,RURAL,31,0,0,0,0
29589,45,77,2018,11,RURAL,7,0,0,0,0
29590,45,77,2019,2,RURAL,2,0,0,0,0
29591,45,77,2019,3,RURAL,17,14,0,0,0
29592,45,77,2019,4,RURAL,14,16,0,0,0
29593,45,77,2019,5,RURAL,25,6,0,0,0
29594,45,77,2019,6,RURAL,19,11,0,0,0
29595,45,77,2019,7,RURAL,23,8,0,0,0
29596,45,77,2019,8,RURAL,24,7,0,0,0
29597,45,77,2019,9,RURAL,20,10,0,0,0
29598,45,77,2019,10,RURAL,29,2,0,0,0
29599,45,77,2019,11,RURAL,6,0,0,0,0
29600,45,79,2018,1,RURAL,20,0,0,0,0
29601,45,79,2018,1,SUBURBAN,10,1,0,0,0
29602,45,79,2018,2,RURAL,9,0,0,0,0
29603,45,79,2018,2,SUBURBAN,18,1,0,0,0
29604,45,79,2018,3,RURAL,8,1,0,0,0
29605,45,79,2018,3,SUBURBAN,19,3,0,0,0
29606,45,79,2018,4,RURAL,17,3,0,0,0
29607,45,79,2018,4,SUBURBAN,7,3,0,0,0
29608,45,79,2018,5,RURAL,17,9,0,0,0
29609,45,79,2018,5,SUBURBAN,5,0,0,0,0
29610,45,79,2018,6,RURAL,14,3,0,0,0
29611,45,79,2018,6,SUBURBAN,11,2,0,0,0
29612,45,79,2018,7,RURAL,24,3,0,0,0
29613,45,79,2018,7,SUBURBAN,4,0,0,0,0
29614,45,79,2018,8,RURAL,24,1,0,0,0
29615,45,79,2018,8,SUBURBAN,5,1,0,0,0
29616,45,79,2018,9,RURAL,8,0,0,0,0
29617,45,79,2018,9,SUBURBAN,22,0,0,0,0
29618,45,79,2018,10,RURAL,12,0,0,0,0
29619,45,79,2018,10,SUBURBAN,18,1,0,0,0
29620,45,79,2018,11,RURAL,12,0,0,0,0
29621,45,79,2018,11,SUBURBAN,18,0,0,0,0
